Item LC 116,Descrição Item,CÓDIGO NACIONAL,CNAE,NBS,DESCRIÇÃO NBS,cClassTrib,nome cClassTrib,ONDA DE CADASTRO,,,,
01.01,1.01 - Análise e desenvolvimento de sistemas.,010101,6319400, 1.1502.10.00,"Serviços de projeto, desenvolvimento e instalação de aplicativos e programas não personalizados (não customizados) ",000001,Situações tributadas integralmente pelo IBS e CBS.,2° ONDA (Thiago Paulino),,,,
01.01,Análise E Desenvolvimento De Sistemas.,010101,6201501,1.1502.10.00,"Serviços de projeto, desenvolvimento e instalação de aplicativos e programas não personalizados (não customizados) ",000001,Situações tributadas integralmente pelo IBS e CBS.,1° ONDA,,,,
01.01,Análise E Desenvolvimento De Sistemas.,010101,6202300,1.1502.10.00,"Serviços de projeto, desenvolvimento e instalação de aplicativos e programas não personalizados (não customizados) ",000001,Situações tributadas integralmente pelo IBS e CBS.,1° ONDA,,,,
01.01,Análise E Desenvolvimento De Sistemas.,010101,6203100,1.1502.10.00,"Serviços de projeto, desenvolvimento e instalação de aplicativos e programas não personalizados (não customizados) ",000001,Situações tributadas integralmente pelo IBS e CBS.,1° ONDA,,,,
01.01,Análise E Desenvolvimento De Sistemas.,010101,6204000,1.1502.10.00,"Serviços de projeto, desenvolvimento e instalação de aplicativos e programas não personalizados (não customizados) ",000001,Situações tributadas integralmente pelo IBS e CBS.,1° ONDA,,,,
01.01,Análise E Desenvolvimento De Sistemas.,010101,6201501,1.1502.20.00,"Serviços de projeto e desenvolvimento, adaptação e instalação de aplicativos e programas personalizados (customizados) ",000001,Situações tributadas integralmente pelo IBS e CBS.,1° ONDA,,,,
01.01,Análise E Desenvolvimento De Sistemas.,010101,6202300,1.1502.20.00,"Serviços de projeto e desenvolvimento, adaptação e instalação de aplicativos e programas personalizados (customizados) ",000001,Situações tributadas integralmente pelo IBS e CBS.,1° ONDA,,,,
01.01,Análise E Desenvolvimento De Sistemas.,010101,6203100,1.1502.20.00,"Serviços de projeto e desenvolvimento, adaptação e instalação de aplicativos e programas personalizados (customizados) ",000001,Situações tributadas integralmente pelo IBS e CBS.,1° ONDA,,,,
01.01,Análise E Desenvolvimento De Sistemas.,010101,6204000,1.1502.20.00,"Serviços de projeto e desenvolvimento, adaptação e instalação de aplicativos e programas personalizados (customizados) ",000001,Situações tributadas integralmente pelo IBS e CBS.,1° ONDA,,,,
01.01,Análise E Desenvolvimento De Sistemas.,010101,6201501,1.1502.40.00,Serviços de projeto e desenvolvimento de estruturas e conteúdo de bancos de dados ,000001,Situações tributadas integralmente pelo IBS e CBS.,1° ONDA,,,,
01.01,Análise E Desenvolvimento De Sistemas.,010101,6202300,1.1502.40.00,Serviços de projeto e desenvolvimento de estruturas e conteúdo de bancos de dados ,000001,Situações tributadas integralmente pelo IBS e CBS.,1° ONDA,,,,
01.01,Análise E Desenvolvimento De Sistemas.,010101,6203100,1.1502.40.00,Serviços de projeto e desenvolvimento de estruturas e conteúdo de bancos de dados ,000001,Situações tributadas integralmente pelo IBS e CBS.,1° ONDA,,,,
01.01,Análise E Desenvolvimento De Sistemas.,010101,6204000,1.1502.40.00,Serviços de projeto e desenvolvimento de estruturas e conteúdo de bancos de dados ,000001,Situações tributadas integralmente pelo IBS e CBS.,1° ONDA,,,,
01.01,Análise E Desenvolvimento De Sistemas.,010101,6201501,1.1502.50.00,Serviços de integração de sistemas em tecnologia da informação (TI) ,000001,Situações tributadas integralmente pelo IBS e CBS.,1° ONDA,,,,
01.01,Análise E Desenvolvimento De Sistemas.,010101,6202300,1.1502.50.00,Serviços de integração de sistemas em tecnologia da informação (TI) ,000001,Situações tributadas integralmente pelo IBS e CBS.,1° ONDA,,,,
01.01,Análise E Desenvolvimento De Sistemas.,010101,6203100,1.1502.50.00,Serviços de integração de sistemas em tecnologia da informação (TI) ,000001,Situações tributadas integralmente pelo IBS e CBS.,1° ONDA,,,,
01.01,Análise E Desenvolvimento De Sistemas.,010101,6204000,1.1502.50.00,Serviços de integração de sistemas em tecnologia da informação (TI) ,000001,Situações tributadas integralmente pelo IBS e CBS.,1° ONDA,,,,
01.01,Análise E Desenvolvimento De Sistemas.,010101,6201501,1.1502.90.00,Serviços de projeto e desenvolvimento de aplicativos e programas em tecnologia da informação (TI) não classificados em subposições anteriores,000001,Situações tributadas integralmente pelo IBS e CBS.,1° ONDA,,,,
01.01,Análise E Desenvolvimento De Sistemas.,010101,6202300,1.1502.90.00,Serviços de projeto e desenvolvimento de aplicativos e programas em tecnologia da informação (TI) não classificados em subposições anteriores,000001,Situações tributadas integralmente pelo IBS e CBS.,1° ONDA,,,,
01.01,Análise E Desenvolvimento De Sistemas.,010101,6203100,1.1502.90.00,Serviços de projeto e desenvolvimento de aplicativos e programas em tecnologia da informação (TI) não classificados em subposições anteriores,000001,Situações tributadas integralmente pelo IBS e CBS.,1° ONDA,,,,
01.01,Análise E Desenvolvimento De Sistemas.,010101,6204000,1.1502.90.00,Serviços de projeto e desenvolvimento de aplicativos e programas em tecnologia da informação (TI) não classificados em subposições anteriores,000001,Situações tributadas integralmente pelo IBS e CBS.,1° ONDA,,,,
01.01,Análise E Desenvolvimento De Sistemas.,010101,6201501,1.1502.90.00,Serviços de projeto e desenvolvimento de aplicativos e programas em tecnologia da informação (TI) não classificados em subposições anteriores,200043,Fornecimento à administração pública dos serviços e dos bens relativos à soberania (Anexo XI),1° ONDA,,,,
01.01,Análise E Desenvolvimento De Sistemas.,010101,6202300,1.1502.90.00,Serviços de projeto e desenvolvimento de aplicativos e programas em tecnologia da informação (TI) não classificados em subposições anteriores,200043,Fornecimento à administração pública dos serviços e dos bens relativos à soberania (Anexo XI),1° ONDA,,,,
01.01,Análise E Desenvolvimento De Sistemas.,010101,6203100,1.1502.90.00,Serviços de projeto e desenvolvimento de aplicativos e programas em tecnologia da informação (TI) não classificados em subposições anteriores,200043,Fornecimento à administração pública dos serviços e dos bens relativos à soberania (Anexo XI),1° ONDA,,,,
01.01,Análise E Desenvolvimento De Sistemas.,010101,6204000,1.1502.90.00,Serviços de projeto e desenvolvimento de aplicativos e programas em tecnologia da informação (TI) não classificados em subposições anteriores,200043,Fornecimento à administração pública dos serviços e dos bens relativos à soberania (Anexo XI),1° ONDA,,,,
01.01,Análise E Desenvolvimento De Sistemas.,010101,6201501,1.1502.90.00,Serviços de projeto e desenvolvimento de aplicativos e programas em tecnologia da informação (TI) não classificados em subposições anteriores,200044,Operações e prestações de serviços de segurança da informação e segurança cibernética desenvolvidos por sociedade que tenha sócio brasileiro (Anexo XI),1° ONDA,,,,
01.01,Análise E Desenvolvimento De Sistemas.,010101,6202300,1.1502.90.00,Serviços de projeto e desenvolvimento de aplicativos e programas em tecnologia da informação (TI) não classificados em subposições anteriores,200044,Operações e prestações de serviços de segurança da informação e segurança cibernética desenvolvidos por sociedade que tenha sócio brasileiro (Anexo XI),1° ONDA,,,,
01.01,Análise E Desenvolvimento De Sistemas.,010101,6203100,1.1502.90.00,Serviços de projeto e desenvolvimento de aplicativos e programas em tecnologia da informação (TI) não classificados em subposições anteriores,200044,Operações e prestações de serviços de segurança da informação e segurança cibernética desenvolvidos por sociedade que tenha sócio brasileiro (Anexo XI),1° ONDA,,,,
01.01,Análise E Desenvolvimento De Sistemas.,010101,6204000,1.1502.90.00,Serviços de projeto e desenvolvimento de aplicativos e programas em tecnologia da informação (TI) não classificados em subposições anteriores,200044,Operações e prestações de serviços de segurança da informação e segurança cibernética desenvolvidos por sociedade que tenha sócio brasileiro (Anexo XI),1° ONDA,,,,
